env,geno,ttime,da_sow2,zadok_stage_A,yield_A,yield_d,biomass_LargeError,biomass_MediumError,biomass_NoError,gw_d,g_no_d,maturity,flowering
Emerald_1993,g136,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g137,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g138,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g139,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g140,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g141,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g142,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g143,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g144,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g145,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g146,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g147,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g148,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g149,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g150,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g151,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g152,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g153,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g154,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g155,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g156,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g157,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g158,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g159,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g160,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g161,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g162,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g163,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g164,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g165,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g166,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g167,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g168,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g169,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g170,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g171,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g172,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g173,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g174,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g175,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g176,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g177,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g178,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g179,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g180,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g181,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g182,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g183,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g184,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g185,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g186,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g187,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g188,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g189,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g190,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g191,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g192,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g193,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g194,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g195,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g196,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g197,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g198,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g199,23.5,0,4.995,0,*,0,0,0,*,*,0,0
Emerald_1993,g001,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g002,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g003,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g004,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g005,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g006,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g007,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g008,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g009,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g010,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g011,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g012,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g013,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g014,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g015,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g016,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g017,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g018,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g019,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g020,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g021,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g022,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g023,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g024,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g025,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g026,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g027,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g028,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g029,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g030,43.25,1,5,0,*,*,*,0,*,*,0,0
