par,row,col,time
24.79,408,754,16213.533
24.75,408,754,16213.536
24.79,408,754,16213.539
25.09,408,754,16213.545
25.05,408,754,16213.548
25.05,408,754,16213.551
24.96,408,754,16213.554
24.83,408,754,16213.56
24.83,408,754,16213.563
24.87,408,754,16213.566
24.91,408,754,16213.569
24.91,408,754,16213.572
24.83,408,754,16213.575
24.7,408,754,16213.578
25.22,408,754,16213.584
25.48,408,754,16213.587
25.99,408,754,16213.593
26.63,408,754,16213.596
26.76,408,754,16213.599
26.8,408,754,16213.602
26.38,408,754,16213.605
25.78,408,754,16213.611
26.12,408,754,16213.614
25.82,408,754,16213.617
25.6,408,754,16213.62
25.48,408,754,16213.623
25.43,408,754,16213.626
25.43,408,754,16213.629
24.79,408,754,16213.632
25,408,754,16213.635
24.96,408,754,16213.638
24.96,408,754,16213.644
25.01,408,754,16213.647
25.3,408,754,16213.65
25.3,408,754,16213.653
25.17,408,754,16213.656
25.05,408,754,16213.662
24.92,408,754,16213.665
24.79,408,754,16213.668
24.49,408,754,16213.677
24.49,408,754,16213.68
24.32,408,754,16213.683
24.11,408,754,16213.686
23.94,408,754,16213.689
23.73,408,754,16213.692
23.56,408,754,16213.695
23.34,408,754,16213.701
23.13,408,754,16213.704
22.86,408,754,16213.707
22.65,408,754,16213.71
22.44,408,754,16213.713
22.18,408,754,16213.716
21.97,408,754,16213.722
21.8,408,754,16213.725
21.62,408,754,16213.728
21.45,408,754,16213.731
21.34,408,754,16213.734
21.25,408,754,16213.737
21.16,408,754,16213.743
21.08,408,754,16213.746
21.03,408,754,16213.749
20.99,408,754,16213.752
20.91,408,754,16213.755
20.86,408,754,16213.761
20.82,408,754,16213.764
20.73,408,754,16213.767
20.65,408,754,16213.77
20.56,408,754,16213.773
20.48,408,754,16213.776
20.39,408,754,16213.782
20.29,408,754,16213.785
20.17,408,754,16213.788
20.05,408,754,16213.791
19.92,408,754,16213.794
19.75,408,754,16213.8
19.58,408,754,16213.803
19.35,408,754,16213.806
19.18,408,754,16213.809
18.96,408,754,16213.812
18.79,408,754,16213.815
18.57,408,754,16213.821
19.93,0,754,16212.96
19.89,0,754,16212.963
19.84,0,754,16212.966
19.76,0,754,16212.969
19.72,0,754,16212.972
19.63,0,754,16212.975
19.59,0,754,16212.978
19.5,0,754,16212.981
19.4,0,754,16212.984
19.36,0,754,16212.987
19.28,0,754,16212.99
19.19,0,754,16212.996
